date,temperature,relative_humidity,rain,wind_speed,surface_pressure,cloud_cover,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,us_aqi
2025-01-01 00:00:00+00:00,16.0,46.5456,0.0,10.094454,1015.85944,95.0,28.3,26.9,510.0,7.7,12.2,99.92907
2025-01-01 01:00:00+00:00,15.45,47.54282,0.0,10.464797,1016.6572,46.0,28.9,27.2,730.0,14.1,13.1,98.48404
2025-01-01 02:00:00+00:00,15.25,48.66474,0.0,9.67657,1017.15643,39.0,31.8,30.0,1064.0,22.8,14.3,97.08334
2025-01-01 03:00:00+00:00,15.3,49.191216,0.0,9.5416975,1018.0557,56.0,36.8,34.9,1289.0,27.7,16.0,95.77128
2025-01-01 04:00:00+00:00,16.75,44.999763,0.0,8.39657,1018.95905,69.0,40.0,38.4,1304.0,25.4,18.5,94.583336
2025-01-01 05:00:00+00:00,19.0,39.46983,0.0,8.049845,1019.26526,27.0,42.3,40.3,1209.0,19.4,21.4,93.51064
2025-01-01 06:00:00+00:00,21.55,33.59934,0.0,7.0199995,1019.1726,69.0,43.3,40.9,1087.0,14.1,23.4,93.05851
2025-01-01 07:00:00+00:00,23.6,28.151384,0.0,8.12197,1018.07935,82.0,41.0,38.0,926.0,10.9,23.7,93.73228
2025-01-01 08:00:00+00:00,25.0,23.203321,0.0,8.467655,1016.6842,96.0,39.6,35.2,737.0,8.4,23.0,94.84043
2025-01-01 09:00:00+00:00,25.8,20.602837,0.0,8.297589,1015.3876,87.0,39.5,33.2,631.0,7.5,22.5,95.84221
2025-01-01 10:00:00+00:00,26.2,19.411816,0.0,7.458606,1014.48926,0.0,39.8,32.7,666.0,7.6,22.6,96.61348
2025-01-01 11:00:00+00:00,26.1,19.317322,0.0,6.6818557,1013.98926,29.0,40.4,32.4,785.0,9.3,22.8,97.251785
2025-01-01 12:00:00+00:00,25.6,20.331963,0.0,7.2359104,1014.1879,100.0,44.0,35.7,929.0,15.0,23.5,97.774826
2025-01-01 13:00:00+00:00,24.75,23.219654,0.0,6.5520988,1014.8851,47.0,52.7,47.4,1125.0,29.0,22.3,97.86348
